County,Median_Income_x,Age-Adjusted Incidence Rate,Average Annual Count,Age-Adjusted Death Rate,Average Deaths per Year
"Cleburne County, Arkansas",52597.0,83.6,38,70.5,32
"Clermont County, Ohio",32784.0,85.3,181,61.3,127
"Cleveland County, North Carolina",28399.5,72.3,90,59.2,73
"Cleveland County, Oklahoma",52368.0,66.3,156,49.7,116
"Clinton County, Illinois",74140.5,63.6,29,43.9,20
"Clinton County, Indiana",46134.5,76.2,29,62.2,24
"Clinton County, Iowa",49197.5,64.1,42,50.5,33
"Clinton County, Missouri",42275.5,83.5,22,59.3,15
"Clinton County, New York",50291.0,95.1,90,53.9,50
"Clinton County, Ohio",34737.0,86.6,42,68.2,33
"Coal County, Oklahoma",19225.0,85.8,7,81.1,7
"Cobb County, Georgia",44615.0,60.3,341,40.3,223
"Cochise County, Arizona",35864.0,46.9,84,37,65
"Coconino County, Arizona",51262.25,36.7,39,25.6,26
"Colbert County, Alabama",49109.0,75.9,57,61.2,46
"Coles County, Illinois",53926.0,80.4,48,56.1,34
"Colfax County, Nebraska",47959.5,45.9,5,33.1,4
"Colfax County, New Mexico",21373.0,38.1,9,25.3,6
"Colleton County, South Carolina",41944.0,93.5,48,73.9,38
"Collier County, Florida",76077.0,43.3,268,30.5,194
"Collin County, Texas",93324.0,49.4,286,36.7,207
"Columbia County, Arkansas",34396.5,72,21,62.6,19
"Columbia County, Pennsylvania",44305.0,58,50,43.7,38
"Columbia County, Wisconsin",49816.0,64.3,45,45.7,32
"Columbiana County, Ohio",38391.666666666664,68.6,101,52.3,76
"Columbus County, North Carolina",31860.25,82.6,61,63.6,46
"Comal County, Texas",56587.0,58.1,83,42.7,61
"Comanche County, Oklahoma",40008.0,72.8,80,58.2,63
"Contra Costa County, California",68959.6,49.2,554,36.1,404
"Converse County, Wyoming",56257.0,58.3,9,40.6,6
"Conway County, Arkansas",35612.0,75,21,55.1,16
"Cook County, Illinois",65694.33333333333,63.4,3359,44.7,2369
"Coosa County, Alabama",22745.0,82.6,14,68.9,11
"Coryell County, Texas",51368.0,81.2,41,58.1,28
"Coshocton County, Ohio",39211.0,74,36,64.6,31
"Covington County, Alabama",35146.75,83,44,71.9,39
"Craig County, Virginia",33642.0,58.9,5,54,4
"Craighead County, Arkansas",37068.0,74.6,74,49.2,48
"Crawford County, Arkansas",39222.0,79.1,56,61.8,43
"Crawford County, Illinois",42961.0,88.9,24,55.5,15
"Crawford County, Indiana",34537.0,94.6,13,70.5,10
"Crawford County, Iowa",38425.5,54.8,12,33.6,8
"Crawford County, Ohio",37131.0,66.6,41,54.4,33
"Crawford County, Pennsylvania",45853.25,67.5,81,54,64
"Crawford County, Wisconsin",36018.0,62.4,16,45.8,12
"Creek County, Oklahoma",32440.0,87.7,78,67.1,60
"Crittenden County, Kentucky",54337.0,76.6,10,78.8,10
"Crockett County, Tennessee",29442.5,64.6,12,58.2,11
"Crook County, Oregon",30200.0,54,19,41.6,14
"Crook County, Wyoming",61220.0,46.2,5,47.6,5
"Cullman County, Alabama",45836.5,69.6,73,61.4,63
"Cumberland County, Illinois",37389.0,89.1,13,62.6,9
"Cumberland County, Maine",61597.0,68.3,237,48.9,169
"Cumberland County, New Jersey",47581.0,73.4,122,50.7,84
"Cumberland County, North Carolina",45969.5,73.3,202,56.6,154
"Cumberland County, Pennsylvania",40248.0,56.8,172,40,123
"Cumberland County, Virginia",25738.0,64.8,9,59.2,8
"Cuming County, Nebraska",42214.0,41.6,6,34.1,5
"Curry County, New Mexico",32470.0,46.8,21,36.7,17
"Custer County, Nebraska",32870.0,48.3,8,42.2,7
"Custer County, Oklahoma",48160.0,71.5,21,60.2,18
"Cuyahoga County, Ohio",72571.28571428571,68.7,1108,51.1,838
"Dade County, Georgia",33224.0,79.7,17,79.3,16
"Dade County, Missouri",43025.0,83.3,10,58.4,7
"Dakota County, Nebraska",57824.0,73,15,53,11
"Dallas County, Arkansas",26016.0,82.2,9,74,9
"Dallas County, Iowa",48357.0,61.6,38,36.7,22
"Dallas County, Texas",94562.33333333333,56,1078,42.8,802
"Dane County, Wisconsin",88107.0,54.3,245,38.8,174
"Darke County, Ohio",48767.666666666664,65.9,46,52.7,37
"Darlington County, South Carolina",25472.0,72.4,62,56.2,49
"Dauphin County, Pennsylvania",44876.0,66.7,210,45.1,144
"Davidson County, North Carolina",60799.0,83.9,170,61.3,122
"Davidson County, Tennessee",54579.0,72,424,57.1,331
"Davie County, North Carolina",80720.0,81.6,47,48.3,27
"Daviess County, Missouri",36855.0,75,9,58.9,7
"Dawson County, Montana",44297.0,84.6,11,49.4,6
"De Soto Parish, Louisiana",27138.0,80.7,27,52.7,18
"DeKalb County, Alabama",38947.0,60.8,51,56.3,46
"DeKalb County, Georgia",52058.0,53.2,311,37.8,216
"DeKalb County, Indiana",40907.0,68.5,33,53.2,25
"DeKalb County, Missouri",34187.0,39.5,6,38.4,6
"DeKalb County, Tennessee",30125.0,91.3,22,71.9,17
"DeWitt County, Texas",38794.5,57.9,17,52.8,15
"Decatur County, Georgia",42027.0,70.4,23,58.2,19
"Delaware County, Iowa",40574.0,38.4,9,25.7,6
"Delaware County, Ohio",64533.0,61,94,44.1,66
"Delaware County, Oklahoma",38758.75,71.3,46,57.8,37
"Delaware County, Pennsylvania",69589.5,70.8,468,52.7,350
"Denton County, Texas",92526.0,53.3,245,37.4,169
"Deschutes County, Oregon",53546.0,53.1,105,37.7,74
"Dixie County, Florida",30372.0,100,26,73.8,19
"Dixon County, Nebraska",34164.0,63.3,6,35.5,3
"Dodge County, Georgia",31807.5,81.3,20,53.6,13
"Dodge County, Wisconsin",49411.75,58.6,65,45.6,51
"Door County, Wisconsin",50120.0,53.8,27,41.2,21
"Dorchester County, Maryland",36598.0,73.1,34,62,29
"Dorchester County, South Carolina",50099.0,70.6,89,50.5,61
"Dougherty County, Georgia",29478.0,73.4,72,60.9,59
"Douglas County, Colorado",73931.0,37.1,75,24,48
"Douglas County, Nebraska",54759.0,69.5,338,51,245
"Douglas County, Oregon",42807.75,67,118,59.7,107
"Douglas County, Washington",36927.0,42,19,38.6,17
"Douglas County, Wisconsin",63829.0,58.1,31,57.9,31
"DuPage County, Illinois",73599.0,56.1,529,38.7,362
"Dubuque County, Iowa",50885.75,59.4,70,46.7,56
"Duchesne County, Utah",51100.5,50.2,8,34.9,6
"Dunklin County, Missouri",28822.0,100.1,41,81.2,33
"Dunn County, Wisconsin",41303.0,45.4,21,34.5,16
"Dutchess County, New York",83387.25,64.7,226,44,151
